"";"Lineage_Name";"species";"biomes";"n_interactions";"n_local_partners";"n_local_species";"ND_Host_Parasite";"Host_Status"
"198";"DENPET03";"Hypocnemis_subflava";"Amazonia";1;23;15;0,0434782608695652;"R"
"199";"DENPET03";"Mimus_saturninus";"Cerrado";3;20;11;0,15;"R"
"200";"DENPET03";"Mimus_saturninus";"Cerrado";3;36;19;0,0833333333333333;"R"
"201";"DENPET03";"Mimus_saturninus";"Cerrado";3;23;15;0,130434782608696;"R"
"202";"DENPET03";"Myiarchus_swainsoni";"Cerrado";1;20;11;0,05;"PM"
"203";"DENPET03";"Myiarchus_swainsoni";"Cerrado";1;36;19;0,0277777777777778;"PM"
"204";"DENPET03";"Myiarchus_swainsoni";"Cerrado";1;23;15;0,0434782608695652;"PM"
"205";"DENPET03";"Myiarchus_swainsoni";"Mata_Atlantica";1;20;11;0,05;"PM"
"206";"DENPET03";"Myiarchus_swainsoni";"Mata_Atlantica";1;36;19;0,0277777777777778;"PM"
"207";"DENPET03";"Myiarchus_swainsoni";"Mata_Atlantica";1;23;15;0,0434782608695652;"PM"
"208";"DENPET03";"Neothraupis_fasciata";"Cerrado";1;20;11;0,05;"R"
"209";"DENPET03";"Neothraupis_fasciata";"Cerrado";1;36;19;0,0277777777777778;"R"
"210";"DENPET03";"Neothraupis_fasciata";"Cerrado";1;23;15;0,0434782608695652;"R"
"211";"DENPET03";"Pachyramphus_polychopterus";"Cerrado";1;20;11;0,05;"PM"
"212";"DENPET03";"Pachyramphus_polychopterus";"Cerrado";1;36;19;0,0277777777777778;"PM"
"213";"DENPET03";"Pachyramphus_polychopterus";"Cerrado";1;23;15;0,0434782608695652;"PM"
"214";"DENPET03";"Parula_pitiayumi";"Cerrado";1;20;11;0,05;"R"
"215";"DENPET03";"Parula_pitiayumi";"Cerrado";1;36;19;0,0277777777777778;"R"
"216";"DENPET03";"Parula_pitiayumi";"Cerrado";1;23;15;0,0434782608695652;"R"
"217";"DENPET03";"Passer_domesticus";"Cerrado";1;20;11;0,05;"PM"
"218";"DENPET03";"Passer_domesticus";"Cerrado";1;36;19;0,0277777777777778;"PM"
"219";"DENPET03";"Passer_domesticus";"Cerrado";1;23;15;0,0434782608695652;"PM"
"220";"DENPET03";"Passer_domesticus";"Pantanal";1;20;11;0,05;"PM"
"221";"DENPET03";"Passer_domesticus";"Pantanal";1;36;19;0,0277777777777778;"PM"
"222";"DENPET03";"Passer_domesticus";"Pantanal";1;23;15;0,0434782608695652;"PM"
"223";"DENPET03";"Pipra_fasciicauda";"Amazonia";3;20;11;0,15;"R"
"224";"DENPET03";"Pipra_fasciicauda";"Amazonia";3;36;19;0,0833333333333333;"R"
"225";"DENPET03";"Pipra_fasciicauda";"Amazonia";3;23;15;0,130434782608696;"R"
"226";"DENPET03";"Ramphastos_dicolorus";"Mata_Atlantica";1;20;11;0,05;"R"
"227";"DENPET03";"Ramphastos_dicolorus";"Mata_Atlantica";1;36;19;0,0277777777777778;"R"
"228";"DENPET03";"Ramphastos_dicolorus";"Mata_Atlantica";1;23;15;0,0434782608695652;"R"
"229";"DENPET03";"Ramphastos_vitellinus";"Amazonia";1;20;11;0,05;"R"
"230";"DENPET03";"Ramphastos_vitellinus";"Amazonia";1;36;19;0,0277777777777778;"R"
"231";"DENPET03";"Ramphastos_vitellinus";"Amazonia";1;23;15;0,0434782608695652;"R"
"232";"DENPET03";"Ramphocelus_carbo";"Amazonia";5;20;11;0,25;"R"
"233";"DENPET03";"Ramphocelus_carbo";"Amazonia";5;36;19;0,138888888888889;"R"
"234";"DENPET03";"Ramphocelus_carbo";"Amazonia";5;23;15;0,217391304347826;"R"
"235";"DENPET03";"Ramphocelus_carbo";"Pantanal";6;20;11;0,3;"R"
"236";"DENPET03";"Ramphocelus_carbo";"Pantanal";6;36;19;0,166666666666667;"R"
"237";"DENPET03";"Ramphocelus_carbo";"Pantanal";6;23;15;0,260869565217391;"R"
"238";"DENPET03";"Rynchops_niger";"Amazonia";1;20;11;0,05;"M"
"239";"DENPET03";"Rynchops_niger";"Amazonia";1;36;19;0,0277777777777778;"M"
