"";"species";"normalised.degree";"PDI";"species.specificity.index";"effective.partners";"biomes";"Host_Status"
"276";"Tangara_sayaca";0,0588235294117647;0,0253164556962025;1;1;"Mata_Atlantica";"R"
"277";"Tangara_vassorii";0,0714285714285714;0,285714285714286;1;1;"Andinean_Forest";"R"
"278";"Tangara_viridicollis";0,0714285714285714;0,0714285714285714;1;1;"Andinean_Forest";"R"
"279";"Thamnomanes_ardesiacus";0,0588235294117647;0,1;1;1;"Amazonia";"R"
"280";"Thamnomanes_ardesiacus";0,0714285714285714;0,1;1;1;"Andinean_Forest";"R"
"281";"Thamnomanes_caesius";0,176470588235294;0,0862637362637363;0,54723982262207;2,96748494062381;"Amazonia";"R"
"282";"Thamnomanes_caesius";0,142857142857143;0,0717948717948718;0,681385143869247;1,99490012509093;"Andinean_Forest";"R"
"283";"Thamnomanes_saturninus";0,235294117647059;0,0898122710622711;0,489437662672438;3,73520038433203;"Amazonia";"R"
"284";"Thamnophilus_aethiops";0,176470588235294;0,0761217948717949;0,568648469800135;2,85671332443388;"Amazonia";"R"
"285";"Thamnophilus_aethiops";0,0714285714285714;0,0384615384615385;1;1;"Andinean_Forest";"R"
"286";"Thamnophilus_amazonicus";0,0588235294117647;0,0769230769230769;1;1;"Amazonia";"R"
"287";"Thamnophilus_ambiguus";0,0952380952380952;0,995833333333333;0,922435674702847;1,31152341404742;"Cerrado";"R"
"288";"Thamnophilus_ambiguus";0,0588235294117647;0,4375;1;1;"Mata_Atlantica";"R"
"289";"Thamnophilus_doliatus";0,0588235294117647;0,0833333333333333;1;1;"Amazonia";"R"
"290";"Thamnophilus_doliatus_capistratus";0,0588235294117647;0,0126582278481013;1;1;"Mata_Atlantica";"R"
"291";"Thamnophilus_murinus";0,0588235294117647;0,230769230769231;1;1;"Amazonia";"R"
"292";"Thamnophilus_nigrocinereus";0,235294117647059;0,185209959123003;0,532516343366962;3,43258587900913;"Amazonia";"R"
"293";"Thamnophilus_pelzelni";0,0833333333333333;0,16025641025641;1;1;"Caatinga";"R"
"294";"Thamnophilus_schistaceus";0,0588235294117647;0,153846153846154;1;1;"Amazonia";"R"
"295";"Thlypopsis_sordida";0,0952380952380952;0,0967857142857143;0,795868123638686;1,70505772276971;"Cerrado";"R"
"296";"Thraupis_cyanocephala";0,0714285714285714;0,0188679245283019;1;1;"Andinean_Forest";"R"
"297";"Thraupis_palmarum";0,0588235294117647;0,205446906035141;1;1;"Amazonia";"R"
"298";"Thraupis_sayaca";0,0588235294117647;0,0714285714285714;1;1;"Mata_Atlantica";"R"
"299";"Thryothorus_euophrys";0,0714285714285714;0,0454545454545455;1;1;"Andinean_Forest";"R"
"300";"Thryothorus_genibarbis";0,0588235294117647;0,205446906035141;1;1;"Amazonia";"R"
"301";"Thryothorus_leucotis";0,0588235294117647;0,1;1;1;"Amazonia";"R"
"302";"Thryothorus_longirostris";0,0833333333333333;0,121256038647343;1;1;"Caatinga";"R"
"303";"Tiaris_fuliginosus";0,0952380952380952;0,155345695970696;0,7108086443721;1,9426547270514;"Cerrado";"R"
"304";"Tiaris_obscura";0,0714285714285714;0,0188679245283019;1;1;"Andinean_Forest";"R"
"305";"Tolmomyias_flaviventris";0,0952380952380952;0,246428571428571;0,798145999825243;1,69843323402318;"Cerrado";"R"
"306";"Trichothraupis_melanops";0,0476190476190476;0,294642857142857;1;1;"Cerrado";"R"
"307";"Trichothraupis_melanops";0,235294117647059;0,395279595369109;0,636053631692151;2,88272639002014;"Mata_Atlantica";"R"
"308";"Troglodytes_aedon";0,285714285714286;0,589998742470996;0,662982698226334;2,55137220908628;"Andinean_Forest";"M"
"309";"Troglodytes_aedon";0,0833333333333333;0,205446906035141;1;1;"Caatinga";"M"
"310";"Troglodytes_aedon";0,0588235294117647;0,121256038647343;1;1;"Mata_Atlantica";"M"
"311";"Troglodytes_musculus";0,0588235294117647;0,616340718105424;1;1;"Mata_Atlantica";"R"
"312";"Trogon_curucui";0,176470588235294;0,311352039616349;0,715906888514452;2,15225093458178;"Mata_Atlantica";"R"
"313";"Trogon_personatus";0,0714285714285714;0,0769230769230769;1;1;"Andinean_Forest";"R"
"314";"Turdus_amaurochalinus";0,0588235294117647;0,214285714285714;1;1;"Amazonia";"PM"
"315";"Turdus_amaurochalinus";0,0952380952380952;0,138690476190476;0,715092539969633;1,93113900629386;"Cerrado";"PM"
"316";"Turdus_amaurochalinus";0,176470588235294;0,799860256388875;0,752461492563707;2,0104494721745;"Mata_Atlantica";"PM"
"317";"Turdus_flavipes";0,235294117647059;0,223198688245165;0,565500083551491;3,04324425371313;"Mata_Atlantica";"M"
"318";"Turdus_fumigatus";0,0588235294117647;0,2;1;1;"Amazonia";"R"
"319";"Turdus_hauxwelli";0,117647058823529;0,237303743961353;0,771704980562993;1,76572098730451;"Amazonia";"R"
"320";"Turdus_leucomelas";0,0952380952380952;0,6606038647343;0,852384101013337;1,5363406917513;"Cerrado";"R"
"321";"Turdus_leucomelas";0,352941176470588;0,363566890526331;0,455844370890231;4,45626996767204;"Mata_Atlantica";"R"
"322";"Turdus_leucops";0,0714285714285714;0,0454545454545455;1;1;"Andinean_Forest";"R"
"323";"Turdus_nigriceps";0,142857142857143;0,0440031666446761;0,743997059088021;1,83145251300312;"Andinean_Forest";"R"
"324";"Turdus_rufiventris";0,166666666666667;0,112327467218772;0,678644028749043;1,98898760839548;"Caatinga";"R"
"325";"Turdus_rufiventris";0,0476190476190476;0,121256038647343;1;1;"Cerrado";"R"
"326";"Turdus_rufiventris";0,117647058823529;0,0891233766233766;0,783174614227575;1,73338392431772;"Mata_Atlantica";"R"
"327";"Turdus_serranus";0,0714285714285714;0,0188679245283019;1;1;"Andinean_Forest";"R"
