"";"x";"y";"Temp";"Prec"
"4422";-45,5308804;-16,5630651;229;1103
"4423";-64,716667;-9,316667;261;1933
"4424";-45,5308804;-16,5630651;229;1103
"4425";-64,716667;-9,316667;261;1933
"4426";-45,5308804;-16,5630651;229;1103
"4427";-64,716667;-9,316667;261;1933
"4428";-45,5308804;-16,5630651;229;1103
"4429";-64,716667;-9,316667;261;1933
"4430";-45,5308804;-16,5630651;229;1103
"4431";-64,716667;-9,316667;261;1933
"4432";-45,5308804;-16,5630651;229;1103
"4433";-64,716667;-9,316667;261;1933
"4434";-45,5308804;-16,5630651;229;1103
"4435";-64,716667;-9,316667;261;1933
"4436";-45,5308804;-16,5630651;229;1103
"4437";-64,716667;-9,316667;261;1933
"4438";-45,5308804;-16,5630651;229;1103
"4439";-64,716667;-9,316667;261;1933
"4440";-45,5308804;-16,5630651;229;1103
"4441";-64,716667;-9,316667;261;1933
"4442";-45,5308804;-16,5630651;229;1103
"4443";-64,716667;-9,316667;261;1933
"4444";-45,5308804;-16,5630651;229;1103
"4445";-64,716667;-9,316667;261;1933
"4446";-45,5308804;-16,5630651;229;1103
"4447";-64,716667;-9,316667;261;1933
"4448";-45,5308804;-16,5630651;229;1103
"4449";-64,716667;-9,316667;261;1933
"4450";-45,5308804;-16,5630651;229;1103
"4451";-64,716667;-9,316667;261;1933
"4452";-45,5308804;-16,5630651;229;1103
"4453";-64,716667;-9,316667;261;1933
"4454";-45,5308804;-16,5630651;229;1103
"4455";-64,716667;-9,316667;261;1933
"4456";-45,5308804;-16,5630651;229;1103
"4457";-64,716667;-9,316667;261;1933
"4458";-45,5308804;-16,5630651;229;1103
"4459";-64,716667;-9,316667;261;1933
"4460";-45,5308804;-16,5630651;229;1103
"4461";-64,716667;-9,316667;261;1933
"4462";-45,5308804;-16,5630651;229;1103
"4463";-64,716667;-9,316667;261;1933
"4464";-45,5308804;-16,5630651;229;1103
"4465";-64,716667;-9,316667;261;1933
"4466";-45,5308804;-16,5630651;229;1103
"4467";-48,8925;-27,098611;195;1661
"4468";-60,733333;-12,216667;228;1807
"4469";-48,8925;-27,098611;195;1661
"4470";-60,733333;-12,216667;228;1807
"4471";-48,8925;-27,098611;195;1661
"4472";-60,733333;-12,216667;228;1807
"4473";-48,8925;-27,098611;195;1661
"4474";-60,733333;-12,216667;228;1807
"4475";-48,8925;-27,098611;195;1661
"4476";-60,733333;-12,216667;228;1807
"4477";-48,8925;-27,098611;195;1661
"4478";-60,733333;-12,216667;228;1807
"4479";-48,8925;-27,098611;195;1661
"4480";-60,733333;-12,216667;228;1807
"4481";-48,8925;-27,098611;195;1661
"4482";-60,733333;-12,216667;228;1807
"4483";-48,8925;-27,098611;195;1661
"4484";-60,733333;-12,216667;228;1807
"4485";-48,8925;-27,098611;195;1661
"4486";-60,733333;-12,216667;228;1807
"4487";-48,8925;-27,098611;195;1661
"4488";-60,733333;-12,216667;228;1807
"4489";-48,8925;-27,098611;195;1661
"4490";-60,733333;-12,216667;228;1807
"4491";-48,8925;-27,098611;195;1661
"4492";-60,733333;-12,216667;228;1807
"4493";-48,8925;-27,098611;195;1661
"4494";-60,733333;-12,216667;228;1807
"4495";-48,8925;-27,098611;195;1661
"4496";-60,733333;-12,216667;228;1807
"4497";-48,8925;-27,098611;195;1661
"4498";-60,733333;-12,216667;228;1807
"4499";-48,8925;-27,098611;195;1661
"4500";-60,733333;-12,216667;228;1807
"4501";-48,8925;-27,098611;195;1661
"4502";-60,733333;-12,216667;228;1807
"4503";-48,8925;-27,098611;195;1661
"4504";-60,733333;-12,216667;228;1807
"4505";-48,8925;-27,098611;195;1661
"4506";-60,733333;-12,216667;228;1807
"4507";-48,8925;-27,098611;195;1661
"4508";-60,733333;-12,216667;228;1807
"4509";-48,8925;-27,098611;195;1661
"4510";-60,733333;-12,216667;228;1807
"4511";-48,8925;-27,098611;195;1661
"4512";-60,733333;-12,216667;228;1807
"4513";-48,8925;-27,098611;195;1661
