species;weighted.betweenness;weighted.closeness;biomes;Host_Status
Myiarchus_ferox;0;0,00377011637430506;Cerrado;R
Myiarchus_swainsoni;0;0,0219109107262404;Caatinga;PM
Myiarchus_swainsoni;0,0654751675545626;0,0134310477973844;Cerrado;PM
Myiarchus_swainsoni;0;0,0134274771681175;Mata_Atlantica;PM
Myiarchus_tuberculifer;0;0,00599111436014238;Cerrado;R
Myiarchus_tuberculifer;0;0,00339829223120103;Mata_Atlantica;R
Myiarchus_tyrannulus;0;0,00860025926148755;Caatinga;R
Myiarchus_tyrannulus;0,0103110500085925;0,00849264954710617;Cerrado;R
Myiarchus_tyrannulus;0;0,0123718532553702;Mata_Atlantica;R
Myiobius_barbatus;0;0,00377011637430506;Cerrado;R
Myioborus_miniatus;0;0,0072392434010661;Andinean_Forest;R
Myiodynastes_maculatus;0;0,00860025926148755;Caatinga;PM
Myiodynastes_maculatus;0;0,00407631676059809;Cerrado;PM
Myiopagis_viridicata;0;0,0139417048940283;Cerrado;PM
Myiophobus_fasciatus;0;0,00695664339053667;Cerrado;PM
Myrmeciza_fortis;0;0,00528708985721723;Amazonia;R
Myrmeciza_fortis;0;NA;Andinean_Forest;R
Myrmeciza_goeldii;0;0,0050170481327026;Amazonia;R
Myrmeciza_hemimelaena;0;0,0050170481327026;Amazonia;R
Myrmoborus_myotherinus;0,0490566037735849;0,00842751279548343;Amazonia;R
Myrmoborus_myotherinus;0;NA;Andinean_Forest;R
Myrmornis_torquata;0;0,00363105309240716;Amazonia;R
Myrmotherula_axillaris;0,0401325854156043;0,00892691940599393;Amazonia;R
Myrmotherula_axillaris;0;NA;Andinean_Forest;R
Myrmotherula_hauxwelli;0;0,00625944479063853;Amazonia;R
Myrmotherula_menetriesii;0;0,00307662496159881;Amazonia;R
Neopelma_pallescens;0;0,00271110721788549;Mata_Atlantica;R
Neothraupis_fasciata;0,3369994844475;0,0182052129777438;Cerrado;R
Nystalus_maculatus;0;0,00140669593291426;Mata_Atlantica;R
Ochthoeca_rufipectoralis;0;0,0072392434010661;Andinean_Forest;R
Pachyramphus_polychopterus;0,0984215413184772;0,030016186212402;Caatinga;PM
Pachyramphus_polychopterus;0;0,00486832339756356;Cerrado;PM
Paroaria_dominicana;0;0,00860025926148755;Caatinga;R
Paroaria_dominicana;0;0,00660844852276312;Cerrado;R
Parula_pitiayumi;0;0,00486832339756356;Cerrado;R
Passer_domesticus;0;0,0122800254897277;Cerrado;PM
Passer_domesticus;0;0,0185176815236409;Mata_Atlantica;PM
Phaeomyias_murina;0,0464252553389044;0,0311589433340773;Caatinga;PM
Phaeomyias_murina;0;0,00496083950865547;Cerrado;PM
Phaethornis_griseogularis;0;0,0072392434010661;Andinean_Forest;R
Phaethornis_guy;0,120372581800812;0,0208072101229322;Andinean_Forest;R
Phaethornis_malaris;0;0,00714376139539127;Andinean_Forest;R
Phaethornis_striigularis;0;0,0122131106530438;Andinean_Forest;R
Phaethornis_superciliosus;0;0,00714376139539127;Andinean_Forest;R
Phaethornis_syrmatophorus;0;0,0189294653842846;Andinean_Forest;R
Phaethornis_yaruqui;0;0,0159970471919133;Andinean_Forest;R
Philydor_rufum;0;0,00893364246520595;Mata_Atlantica;R
Phlegopsis_nigromaculata;0,204691483936767;0,0100191828020682;Amazonia;R
Pipra_erythrocephala;0;0,00581421484322297;Amazonia;R
Pipra_erythrocephala;0;NA;Andinean_Forest;R
Pipra_fasciicauda;0,11820499745028;0,009333196758561;Amazonia;R
Pipra_pipra;0;0,00822038552256033;Amazonia;R
Pipra_rubrocapilla;0,0234574196838348;0,00765345844269632;Amazonia;R
Pipra_rubrocapilla;0;NA;Cerrado;R
Pipreola_riefferii;0;0,0072392434010661;Andinean_Forest;R
Pitangus_sulphuratus;0;0,0213636721964582;Caatinga;PM
