species;betweenness;weighted.betweenness;closeness;weighted.closeness;normalised.degree;biomes
Elaenia_mesoleuca;0;0;0,0153193182571789;0,0121801617379223;0,0588235294117647;Mata_Atlantica
Elaenia_pallatangae;0;0;0,0153439153439153;0,0072392434010661;0,0714285714285714;Andinean_Forest
Elaenia_parvirostris;0;0;0,0118724926813401;0,00601431832750704;0,0588235294117647;Amazonia
Empidonomus_varius;0;0;0,0333501768569985;0,0199804273352986;0,166666666666667;Caatinga
Epinecrophylla_erythrura;0;0;0,0118724926813401;0,00417561313225858;0,0588235294117647;Amazonia
Epinecrophylla_haematonota;0;0;0,012414615634826;0,00476024848199399;0,0588235294117647;Amazonia
Eriocnemis_cupreoventris;0;0;0,0153439153439153;0,0072392434010661;0,0714285714285714;Andinean_Forest
Eriocnemis_derbyi;0;0;0,0153439153439153;0,0072392434010661;0,0714285714285714;Andinean_Forest
Eriocnemis_vestita;0,198224852071006;0,160019106759016;0,016005291005291;0,00773841063183278;0,142857142857143;Andinean_Forest
Euphonia_violacea;0;0;0,0144769519655945;0,00137586434109832;0,0476190476190476;Cerrado
Formicivora_melanogaster;0;0;0,01508268217336;0,00486832339756356;0,0476190476190476;Cerrado
Formicivora_melanogaster;0;0;0,017441474898866;0,00271110721788549;0,0588235294117647;Mata_Atlantica
Furnarius_leucopus;0;0;0,0153439153439153;0,0072392434010661;0,0714285714285714;Andinean_Forest
Furnarius_leucopus;0;0;0,0333501768569985;0,0198544957099461;0,0833333333333333;Caatinga
Galbula_cyanicollis;0,0298460527550925;0,0325344212136665;0,0138783476092378;0,00695547573760038;0,117647058823529;Amazonia
Geotrygon_montana;0;0;0,0132278000650548;0,00363105309240716;0,0588235294117647;Amazonia
Glyphorynchus_spirurus;0;0;0,0110593082511114;0,0073815454196926;0,0588235294117647;Amazonia
Glyphorynchus_spirurus;0;0;0;NA;0,0588235294117647;Mata_Atlantica
Gnorimopsar_chopi;0;0;0,0119328850929796;0,00177465932784643;0,0476190476190476;Cerrado
Gymnopithys_leucaspis;0,0385890678519515;0,00591534931157573;0,0153420795836496;0,00563930692651008;0,176470588235294;Amazonia
Gymnopithys_rufigula;0;0;0,0118182803859915;0,0073911561863647;0,0588235294117647;Amazonia
Gymnopithys_salvini;0,0267515792508752;0,00305966343702193;0,0162636886045755;0,00783960935925605;0,176470588235294;Amazonia
Haplospiza_unicolor;0;0;0,0153193182571789;0,0121801617379223;0,0588235294117647;Mata_Atlantica
