species;Host_Status;biomes;normalised.degree;weighted.betweenness;weighted.closeness
Gnorimopsar_chopi;R;Cerrado;0,0476190476190476;0;0,00209736602026674
Gymnopithys_leucaspis;R;Amazonia;0,176470588235294;0,00480112775426398;0,00428977445927138
Gymnopithys_rufigula;R;Amazonia;0,0588235294117647;0;0,00621263372879001
Gymnopithys_salvini;R;Amazonia;0,176470588235294;0,00153227481519063;0,00702126272394903
Haplospiza_unicolor;R;Mata_Atlantica;0,0588235294117647;0;0,00905434392254583
Heliangelus_viola;R;Andinean_Forest;0,0714285714285714;0;0,00808835164338352
Heliodoxa_rubinoides;R;Andinean_Forest;0,0714285714285714;0;0,0137313876736511
Hellmayrea_gularis;R;Andinean_Forest;0,0714285714285714;0;0,00808835164338352
Hemispingus_superciliaris;R;Andinean_Forest;0,0714285714285714;0;0,00473622729920051
Hemithraupis_guira;R;Cerrado;0,0476190476190476;0;0,00516969239013997
Hemitriccus_margaritaceiventer;R;Mata_Atlantica;0,117647058823529;0;0,0099482525705221
Herpsilochmus_pectoralis;R;Mata_Atlantica;0,0588235294117647;0;0,00592444096943207
Herpsilochmus_sellowi;R;Mata_Atlantica;0,117647058823529;0,0198287516899504;0,00944813631015463
Hylexetastes_perrotii;R;Amazonia;0,0588235294117647;0;0,00379206385525976
Hylophilus_amaurocephalus;R;Cerrado;0,0476190476190476;0;0,00214680560796043
Hylophilus_amaurocephalus;R;Mata_Atlantica;0,117647058823529;0;0,00787651540754432
Hylophylax_naevius;R;Amazonia;0,117647058823529;0,000183872977822876;0,00401375845406407
Hylophylax_naevius;R;Andinean_Forest;0,142857142857143;0,00883218842001963;NA
Hypocnemis_cantator;R;Amazonia;0,0588235294117647;0;0,00348569571453274
Hypocnemis_cantator;R;Andinean_Forest;0,0714285714285714;0;NA
Hypocnemis_striata;R;Amazonia;0,294117647058824;0,187596405623789;0,00811703326299491
Hypocnemis_subflava;R;Amazonia;0,0588235294117647;0;0,00562919209669088
Icterus_mesomelas;R;Andinean_Forest;0,0714285714285714;0;0,00808835164338352
Iridosornis_analis;R;Andinean_Forest;0,0714285714285714;0;0,0147509980005634
Lafresnaya_lafresnayi;R;Andinean_Forest;0,0714285714285714;0;0,00808835164338352
Lathrotriccus_euleri;PM;Cerrado;0,0476190476190476;0;0,0118446160876795
Lepidocolaptes_angustirostris;R;Cerrado;0,0476190476190476;0;NA
Lepidocolaptes_lacrymiger;R;Andinean_Forest;0,0714285714285714;0;0,00808835164338352
Lepidothrix_coronata;R;Amazonia;0,235294117647059;0,128915387784705;0,00818522324987607
Lepidothrix_coronata;R;Andinean_Forest;0,142857142857143;0;NA
Lepidothrix_nattereri;R;Amazonia;0,117647058823529;0,00292834742458654;0,00731682096075085
Leptopogon_amaurocephalus;R;Mata_Atlantica;0,117647058823529;0,039206849932402;0,00778197251598987
Leptopogon_superciliaris;R;Andinean_Forest;0,0714285714285714;0;NA
Leptopogon_taczanowskii;R;Andinean_Forest;0,0714285714285714;0;0,00808835164338352
Leptotila_verreauxi;R;Mata_Atlantica;0,0588235294117647;0;0,0034215413217074
Machaeropterus_pyrocephalus;R;Amazonia;0,0588235294117647;0;0,00348569571453274
Machaeropterus_pyrocephalus;R;Cerrado;0,0476190476190476;0;NA
Malacoptila_rufa;R;Amazonia;0,0588235294117647;0;0,00649525956515342
Megarynchus_pitangua;R;Mata_Atlantica;0,0588235294117647;0;0,00905434392254583
Metallura_tyrianthina;M;Andinean_Forest;0,0714285714285714;0;0,0137313876736511
Microbates_collaris;R;Amazonia;0,0588235294117647;0;0,00379206385525976
Mimus_saturninus;R;Cerrado;0,0476190476190476;0;0,00987414288636226
Mionectes_oleagineus;R;Amazonia;0,0588235294117647;0;0,0034577199065757
Mionectes_striaticollis;R;Andinean_Forest;0,0714285714285714;0;0,0137313876736511
Molothrus_bonariensis;R;Caatinga;0,0833333333333333;0;0,0101480825633647
Myadestes_ralloides;R;Andinean_Forest;0,0714285714285714;0;0,00808835164338352
Myiarchus_ferox;R;Cerrado;0,0476190476190476;0;0,00203205859949944
Myiarchus_swainsoni;PM;Caatinga;0,25;0;0,0201784467691555
Myiarchus_swainsoni;PM;Cerrado;0,142857142857143;0,0397909290170292;0,0114022453863904
Myiarchus_swainsoni;PM;Mata_Atlantica;0,117647058823529;0;0,0103053339945225
Myiarchus_tuberculifer;R;Cerrado;0,0476190476190476;0;0,00351184409775114
Myiarchus_tuberculifer;R;Mata_Atlantica;0,0588235294117647;0;0,00287413894476973
Myiarchus_tyrannulus;R;Caatinga;0,0833333333333333;0;0,00631408759042618
Myiarchus_tyrannulus;R;Cerrado;0,0952380952380952;0,0323722812341932;0,00576337269921141
Myiarchus_tyrannulus;R;Mata_Atlantica;0,117647058823529;0;0,00958202148518446
Myiobius_barbatus;R;Cerrado;0,0476190476190476;0;0,00203205859949944
Myioborus_miniatus;R;Andinean_Forest;0,0714285714285714;0;0,00808835164338352
Myiodynastes_maculatus;PM;Caatinga;0,0833333333333333;0;0,00631408759042618
Myiodynastes_maculatus;PM;Cerrado;0,0476190476190476;0;0,00288062748523458
Myiopagis_viridicata;PM;Cerrado;0,0952380952380952;0;0,0119152740821629
Myiophobus_fasciatus;PM;Cerrado;0,0476190476190476;0;0,00616572378297743
Myrmeciza_fortis;R;Amazonia;0,117647058823529;0;0,00391625753726944
Myrmeciza_fortis;R;Andinean_Forest;0,0714285714285714;0;NA
Myrmeciza_goeldii;R;Amazonia;0,0588235294117647;0;0,00390078706339794
Myrmeciza_hemimelaena;R;Amazonia;0,0588235294117647;0;0,00390078706339794
Myrmoborus_myotherinus;R;Amazonia;0,294117647058824;0,0432050422056585;0,00744163913492211
Myrmoborus_myotherinus;R;Andinean_Forest;0,0714285714285714;0;NA
Myrmornis_torquata;R;Amazonia;0,0588235294117647;0;0,00379206385525976
Myrmotherula_axillaris;R;Amazonia;0,176470588235294;0,0459631368730017;0,00758744824437674
Myrmotherula_axillaris;R;Andinean_Forest;0,0714285714285714;0;NA
Myrmotherula_hauxwelli;R;Amazonia;0,117647058823529;0;0,00616175228498314
Myrmotherula_menetriesii;R;Amazonia;0,0588235294117647;0;0,00383496852130005
Neopelma_pallescens;R;Mata_Atlantica;0,0588235294117647;0;0,00592444096943207
Neothraupis_fasciata;R;Cerrado;0,238095238095238;0,319676277187658;0,0154468612576163
Nystalus_maculatus;R;Mata_Atlantica;0,0588235294117647;0;0,0034215413217074
Ochthoeca_rufipectoralis;R;Andinean_Forest;0,0714285714285714;0;0,00808835164338352
Pachyramphus_polychopterus;PM;Caatinga;0,166666666666667;0,108874656907594;0,0279632382277239
Pachyramphus_polychopterus;PM;Cerrado;0,0476190476190476;0;0,00516969239013997
Paroaria_dominicana;R;Caatinga;0,0833333333333333;0;0,00631408759042618
Paroaria_dominicana;R;Cerrado;0,0952380952380952;0;0,00475812885461514
Parula_pitiayumi;R;Cerrado;0,0476190476190476;0;0,00516969239013997
Passer_domesticus;PM;Cerrado;0,142857142857143;0;0,0108581968978549
Passer_domesticus;PM;Mata_Atlantica;0,0588235294117647;0;0,014432858641917
Phaeomyias_murina;PM;Caatinga;0,166666666666667;0,0219579139981702;0,0287160447274151
Phaeomyias_murina;PM;Cerrado;0,0476190476190476;0;0,00362647399776992
Phaethornis_griseogularis;R;Andinean_Forest;0,0714285714285714;0;0,00808835164338352
Phaethornis_guy;R;Andinean_Forest;0,142857142857143;0,123650637880275;0,0182143857059228
Phaethornis_malaris;R;Andinean_Forest;0,0714285714285714;0;0,0073729407279958
Phaethornis_striigularis;R;Andinean_Forest;0,0714285714285714;0;0,0117893444918535
Phaethornis_superciliosus;R;Andinean_Forest;0,0714285714285714;0;0,0073729407279958
Phaethornis_syrmatophorus;R;Andinean_Forest;0,0714285714285714;0;0,0168299193339762
Phaethornis_yaruqui;R;Andinean_Forest;0,0714285714285714;0;0,0147305530968897
Philydor_rufum;R;Mata_Atlantica;0,0588235294117647;0;0,00533383449612712
Phlegopsis_nigromaculata;R;Amazonia;0,294117647058824;0,191321535952275;0,00889881547382939
Pipra_erythrocephala;R;Amazonia;0,117647058823529;0;0,00479978175686216
Pipra_erythrocephala;R;Andinean_Forest;0,0714285714285714;0;NA
Pipra_fasciicauda;R;Amazonia;0,176470588235294;0,0964652122541124;0,00753514221171289
Pipra_pipra;R;Amazonia;0,0588235294117647;0;0,00747216238279634
Pipra_rubrocapilla;R;Amazonia;0,176470588235294;0,028313033529578;0,00643445975652136
Pipra_rubrocapilla;R;Cerrado;0,0476190476190476;0;NA
Pipreola_riefferii;R;Andinean_Forest;0,0714285714285714;0;0,00808835164338352
Pitangus_sulphuratus;PM;Caatinga;0,166666666666667;0;0,0202564797716542
Pitangus_sulphuratus;PM;Cerrado;0,0952380952380952;0,0424886191198786;0,00616572378297743
Pitangus_sulphuratus;PM;Mata_Atlantica;0,0588235294117647;0;0,0034215413217074
